company,ticker,filing_date,10k_doc_id,n_ai_sentences,ai_tone,n_other_sentences,other_tone,within_doc_distance,flag
ADVANCED MICRO DEVICES INC,AMD,2006-02-27,4669c5a96ddc6732,0,,65,-0.0618,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2007-03-01,ec6852e01f36777d,0,,665,-0.2349,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2008-02-26,b5d5fe04e92cde63,0,,552,-0.2249,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2009-02-24,b43baa9cf0cc89d5,0,,524,-0.2893,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2010-02-19,b1cc12a451496e3a,0,,479,-0.2392,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2011-02-18,13b2c04fb31a6329,0,,449,-0.2667,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2012-02-24,12b4d91dcba7d98f,0,,412,-0.2919,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2013-02-21,8cc40ae8b1fba768,0,,439,-0.2699,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2014-02-18,42351a44e87d9b27,0,,448,-0.2478,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2015-02-19,7e515dc211422d27,0,,460,-0.2442,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2016-02-18,7d480763cff927ea,0,,475,-0.2806,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2017-02-21,36c694d2bbb94fd2,0,,516,-0.2658,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2018-02-27,452cd0e5638a69f1,0,,544,-0.273,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2019-02-08,f775736a3f2aea0b,0,,562,-0.3004,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2020-02-04,4db2f3ea6995eca2,0,,549,-0.2904,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2021-01-29,bf099b428ad3faeb,0,,552,-0.3364,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2022-02-03,824d4824d9b7f1cb,0,,558,-0.3339,,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2023-02-27,36adbaebe3ef156d,1,0.0118,582,-0.331,0.3428,LOW_SENTENCE_COUNT
ADVANCED MICRO DEVICES INC,AMD,2024-01-31,01d30083b5a7d2b7,26,-0.0208,605,-0.3247,0.3039,
ADVANCED MICRO DEVICES INC,AMD,2025-02-05,f0c368b0a08dc505,39,-0.0012,577,-0.3356,0.3343,
ADVANCED MICRO DEVICES INC,AMD,2026-02-04,48d6d196af67792f,41,-0.1176,620,-0.331,0.2135,
AMAZON COM INC,AMZN,2021-02-03,3c9ed1c7efa692ec,0,,181,-0.3049,,LOW_SENTENCE_COUNT
AMAZON COM INC,AMZN,2022-02-04,7f91a9e2329640c3,1,-0.0179,180,-0.3185,0.3006,LOW_SENTENCE_COUNT
AMAZON COM INC,AMZN,2023-02-03,102e07c6cc6d2c7b,1,-0.0137,190,-0.3324,0.3186,LOW_SENTENCE_COUNT
AMAZON COM INC,AMZN,2024-02-02,f9c57aca16849f4d,5,-0.1138,211,-0.302,0.1882,
AMAZON COM INC,AMZN,2025-02-07,ec914b8e5f7f8e97,5,-0.1141,212,-0.2993,0.1852,
AMAZON COM INC,AMZN,2026-02-06,51b146c4406f04fe,11,0.0339,205,-0.3147,0.3486,
AMERICAN EXPRESS CO,AXP,2006-03-06,5cc4348d52ba2743,0,,290,-0.2264,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2007-03-01,4befc107b62328a4,0,,353,-0.2414,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2008-02-28,c5a009c2890373d7,0,,406,-0.2421,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2009-02-27,b2cec803d8ea8a4f,0,,482,-0.2682,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2010-02-26,1324af0e5527d83c,0,,520,-0.2622,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2011-02-28,59c961d0ed85dc06,0,,625,-0.2554,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2012-02-24,f120cbd76b943c24,0,,671,-0.2807,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2013-02-22,a0bbd0c882da58c6,0,,594,-0.2697,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2014-02-25,c9a62d94038e253f,0,,546,-0.2779,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2015-02-24,2ffc36585c6e6f4b,0,,538,-0.2901,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2016-02-19,9758a706d1c5d307,0,,417,-0.3255,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2017-02-17,c4893dec93717139,0,,399,-0.3507,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2018-02-16,eada42794ae7178c,0,,399,-0.3652,,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2019-02-13,520ca8fbffe418dd,1,0.3308,408,-0.3708,0.7016,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2020-02-13,15114bfe2a785613,2,0.2007,389,-0.3726,0.5733,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2021-02-12,aff87dee411fc698,3,-0.136,402,-0.3745,0.2386,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2022-02-11,d4c3056c65df51f4,2,-0.3065,382,-0.3681,0.0616,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2023-02-10,b24218d869fe5539,3,-0.1172,389,-0.3524,0.2352,LOW_SENTENCE_COUNT
AMERICAN EXPRESS CO,AXP,2024-02-09,58d4640cfec9d4ed,10,-0.146,411,-0.3288,0.1828,
AMERICAN EXPRESS CO,AXP,2025-02-07,dd7eb16f1e80de9c,13,-0.2024,408,-0.3377,0.1353,
AMERICAN EXPRESS CO,AXP,2026-02-06,06b34a19833ce38a,22,-0.302,414,-0.3337,0.0317,
Accenture plc,ACN,2023-10-12,16533657a9fe1151,12,-0.4237,373,-0.3092,-0.1144,
Accenture plc,ACN,2024-10-10,52cc8fbec81eea3a,26,-0.2222,419,-0.2678,0.0457,
Accenture plc,ACN,2025-10-10,ab88f30e8b5ef625,27,-0.1665,413,-0.2676,0.1011,
Alphabet Inc.,GOOGL,2024-01-31,d19a973d096e2192,23,0.0839,331,-0.3045,0.3884,
Alphabet Inc.,GOOGL,2025-02-05,f2b2a50861177add,29,0.0445,337,-0.319,0.3635,
Alphabet Inc.,GOOGL,2026-02-05,582dd132c36e1188,39,-0.0473,350,-0.319,0.2718,
Apple Inc.,AAPL,2015-10-28,5819073ded0e26d8,0,,307,-0.2237,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2016-10-26,0b82b8404bd706a6,0,,292,-0.2437,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2017-11-03,470739e23ad7e084,0,,288,-0.2508,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2018-11-05,7f6708d28998fc9c,0,,289,-0.3016,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2019-10-31,8a6656de5458e179,0,,285,-0.2999,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2020-10-30,661114b796082292,0,,308,-0.3078,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2021-10-29,b6a4d87788a310e5,0,,325,-0.3146,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2022-10-28,09556c2691e68349,0,,337,-0.318,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2023-11-03,56671a7305afdbad,0,,329,-0.3008,,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2024-11-01,9476a3b444c130d4,2,-0.3053,337,-0.2947,-0.0106,LOW_SENTENCE_COUNT
Apple Inc.,AAPL,2025-10-31,aa16a98a7877f45f,4,-0.2086,340,-0.3169,0.1083,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2018-12-21,5088b69175d8b56f,0,,502,-0.316,,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2019-12-20,89ac7cc0778426a9,0,,514,-0.3108,,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2020-12-18,8e67979bdc0f33fa,1,-0.8484,497,-0.3876,-0.4608,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2021-12-17,38bc16102e0bbd01,1,-0.8484,481,-0.3969,-0.4515,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2022-12-16,337310e700178cea,1,-0.8484,489,-0.3946,-0.4538,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2023-12-14,5698be27e8927352,1,-0.8484,512,-0.3888,-0.4596,LOW_SENTENCE_COUNT
Broadcom Inc.,AVGO,2024-12-20,2f8896eb09b389df,12,-0.4559,409,-0.3718,-0.0842,
Broadcom Inc.,AVGO,2025-12-18,40ace2f2cf0fa340,19,-0.5563,396,-0.3775,-0.1788,
DEERE & CO,DE,2014-12-19,3e6e6272d8867380,0,,161,-0.4035,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2015-12-18,aa0e2aadf3b4afdf,0,,163,-0.3949,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2016-12-19,d0c4e9eaffdc414a,0,,181,-0.3904,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2017-12-18,35a8da7cad78b4ba,0,,194,-0.394,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2018-12-17,dc0425988fcd30c0,0,,192,-0.3892,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2019-12-19,6c249e146f78e215,0,,212,-0.3918,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2020-12-17,eda77d544cec5b2e,0,,243,-0.4488,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2021-12-16,cae5e8da5a636690,0,,270,-0.4322,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2022-12-15,a2fff2fde42db9e3,0,,284,-0.4112,,LOW_SENTENCE_COUNT
DEERE & CO,DE,2023-12-15,5a5dd8387cea43be,2,-0.0326,303,-0.404,0.3715,LOW_SENTENCE_COUNT
DEERE & CO,DE,2024-12-12,c7ac72d2e5ab5154,7,-0.3162,304,-0.4163,0.1001,
DEERE & CO,DE,2025-12-18,26e35d92dd45302f,9,-0.3224,318,-0.3617,0.0393,
Dell Technologies Inc.,DELL,2017-03-31,a6b472616f692f39,0,,436,-0.265,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2018-03-29,1a256a82a42eb4f0,0,,383,-0.3016,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2019-03-29,227ed9904c248f9c,0,,350,-0.3415,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2020-03-27,e1d195817ca1a0ec,0,,383,-0.3142,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2021-03-26,7fc6810034e4fa2f,0,,328,-0.3468,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2022-03-24,bc56b4428da8aba7,0,,346,-0.37,,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2023-03-30,5f387ca61fc8500d,1,0.2588,326,-0.3501,0.6088,LOW_SENTENCE_COUNT
Dell Technologies Inc.,DELL,2024-03-25,b02bb8bc8f5e109d,8,-0.2914,358,-0.3069,0.0155,
Dell Technologies Inc.,DELL,2025-03-25,65c5534599927463,19,-0.2394,338,-0.3346,0.0952,
Dell Technologies Inc.,DELL,2026-03-16,70ba3f174c14719c,21,-0.2159,342,-0.3274,0.1115,
ELI LILLY & Co,LLY,2022-02-23,0c8e645e577a9d1d,0,,186,-0.3774,,LOW_SENTENCE_COUNT
ELI LILLY & Co,LLY,2023-02-22,6a383fdf490f7039,0,,210,-0.3577,,LOW_SENTENCE_COUNT
ELI LILLY & Co,LLY,2024-02-21,6db7b92902880526,12,-0.4343,279,-0.3052,-0.1292,
ELI LILLY & Co,LLY,2025-02-19,f9a3cff612eaab70,14,-0.4927,311,-0.3122,-0.1806,
ELI LILLY & Co,LLY,2026-02-12,4b2197d3aa7c122a,18,-0.255,338,-0.3194,0.0644,
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2006-02-28,558cbf49c22dc142,0,,120,-0.0101,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2007-02-27,7e3c1a6cd1b6e639,0,,114,-0.0333,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2008-02-26,f38638442beb714b,0,,122,-0.0798,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2009-02-24,4e8dec6cc810d611,0,,90,-0.2761,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2010-02-23,b98a017b8f8c22e5,0,,96,-0.278,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2011-02-22,6a82d8d57165014a,0,,101,-0.2818,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2012-02-28,f3708468caa52895,0,,102,-0.2997,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2013-02-26,4e90d88bf05b2bac,0,,103,-0.3054,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2014-02-25,0595c0d8260c816f,0,,118,-0.2917,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2015-02-24,312b5a401282d191,0,,120,-0.2927,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2016-02-23,06df81b85887bb0d,0,,121,-0.3104,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2017-02-28,00a202f1744e850b,0,,125,-0.2902,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2018-02-27,e34d8e7f3cf8f186,0,,132,-0.2805,,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2019-02-26,b8677902072839b3,1,0.7933,133,-0.3025,1.0959,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2020-02-25,a2f7faec54c17bc9,2,-0.0118,141,-0.3222,0.3104,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2021-02-23,491ea0224f5efd8f,2,-0.0519,148,-0.3203,0.2683,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022-02-22,f14a2aa7375c1669,2,-0.0532,139,-0.3196,0.2664,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023-02-28,8eedb52bda226940,1,0.8106,137,-0.317,1.1276,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024-02-26,04d2599aee71ac54,3,-0.1743,172,-0.2447,0.0704,LOW_SENTENCE_COUNT
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025-02-25,33d93dc87232bd2c,10,-0.0094,167,-0.2383,0.2289,
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2026-02-24,a531b26691c75309,9,0.0443,164,-0.2413,0.2856,
INTUIT INC.,INTU,2020-08-31,d923604b87e801bb,0,,392,-0.3956,,LOW_SENTENCE_COUNT
INTUIT INC.,INTU,2021-09-08,c8cc765438fc34a9,0,,365,-0.3955,,LOW_SENTENCE_COUNT
INTUIT INC.,INTU,2022-09-02,b299778182038f2d,5,0.1849,359,-0.4116,0.5965,
INTUIT INC.,INTU,2023-09-01,7bf42da26bee5f2e,20,-0.4268,360,-0.4014,-0.0253,
INTUIT INC.,INTU,2024-09-04,72659d6649e89e9b,27,-0.3788,383,-0.3732,-0.0056,
INTUIT INC.,INTU,2025-09-03,d111c60dd1d74525,28,-0.3164,384,-0.371,0.0546,
JPMORGAN CHASE & CO,JPM,2026-02-13,4a02a5739fa40b39,7,-0.8371,324,-0.5028,-0.3343,
MICROSOFT CORP,MSFT,2006-08-25,f7ad2ac08ee3fc8f,0,,195,-0.273,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2007-08-03,c25d1580132836e8,0,,167,-0.298,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2008-07-31,534ccd804a8089f4,0,,175,-0.2742,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2009-07-30,7e781a6591586758,0,,180,-0.2795,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2010-07-30,f6a94e7a1d939cdf,0,,190,-0.3,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2011-07-28,646c5b09ddc1a519,0,,202,-0.2637,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2012-07-26,a0ab6905c970353b,0,,250,-0.2166,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2013-07-30,d82cf096a54de1b3,0,,244,-0.2301,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2014-07-31,ee0a9a5f511ecc00,0,,270,-0.2619,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2015-07-31,79d53da26773f456,0,,273,-0.2344,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2016-07-28,55294b9f87439264,0,,699,-0.1228,,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2017-08-02,8d97030897baebd5,1,0.6816,326,-0.2592,0.9408,LOW_SENTENCE_COUNT
MICROSOFT CORP,MSFT,2018-08-03,0e7e30f81b8bebb5,11,-0.2192,364,-0.2721,0.0529,
MICROSOFT CORP,MSFT,2019-08-01,fa462d4e1ecd0488,11,-0.2272,370,-0.2739,0.0466,
MICROSOFT CORP,MSFT,2020-07-30,fda7a37d49369ca1,11,-0.2272,392,-0.2865,0.0593,
MICROSOFT CORP,MSFT,2021-07-29,4b63bcc4db6e94b1,11,-0.2622,410,-0.2845,0.0223,
MICROSOFT CORP,MSFT,2022-07-28,818d09971f4f5929,11,-0.292,410,-0.282,-0.01,
MICROSOFT CORP,MSFT,2023-07-27,4ca4854242d3b6f9,27,-0.0546,386,-0.2923,0.2377,
MICROSOFT CORP,MSFT,2024-07-30,3b05565e5724eed5,37,-0.0986,437,-0.253,0.1545,
MICROSOFT CORP,MSFT,2025-07-30,25666a28f67375b8,44,-0.1838,414,-0.2391,0.0553,
MICROSOFT CORP,MSFT,2026-07-29,c65854355888a754,65,-0.1613,433,-0.2695,0.1082,
"Meta Platforms, Inc.",META,2025-01-30,343ce6c27057f382,29,0.0135,759,-0.286,0.2995,
"Meta Platforms, Inc.",META,2026-01-29,4f5a8137cd621d00,45,-0.0327,795,-0.2747,0.242,
NVIDIA CORP,NVDA,2006-03-16,7fc9fffc320467cd,0,,428,-0.2705,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2007-03-16,7de1e94996e98483,0,,719,-0.0753,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2008-03-21,4422dc5fb72604d2,0,,704,-0.1188,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2009-03-13,74d418af344dabd8,0,,623,-0.2776,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2010-03-18,453614b5aa0b1dd2,0,,577,-0.2952,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2011-03-16,d4cc420580f7746d,0,,526,-0.3065,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2012-03-13,b9e7f00f7a0dcdbb,0,,556,-0.3256,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2013-03-12,ebface2d681b4205,0,,443,-0.2986,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2014-03-13,5798df750a820a1e,0,,373,-0.2819,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2015-03-12,68964c4c872812b9,0,,198,-0.2804,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2016-03-17,e45a4138664a9439,0,,228,-0.2838,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2017-03-01,f8387e9661764949,0,,242,-0.2491,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2018-02-28,87f361d402ff825a,0,,231,-0.2841,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2019-02-21,bead218654fb9d2e,0,,231,-0.3043,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2020-02-20,0fcfce4f05c0a42f,0,,249,-0.302,,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2021-02-26,7cf09a3e8110b75d,1,-0.8777,315,-0.3512,-0.5265,LOW_SENTENCE_COUNT
NVIDIA CORP,NVDA,2022-03-18,9a7ff4b9e3f7c58f,9,-0.5334,316,-0.4108,-0.1225,
NVIDIA CORP,NVDA,2023-02-24,9faffddceb65b308,20,-0.4192,373,-0.4715,0.0522,
NVIDIA CORP,NVDA,2024-02-21,cc896af763b11afa,34,-0.336,464,-0.4058,0.0698,
NVIDIA CORP,NVDA,2025-02-26,ac0edca473075bde,48,-0.3749,456,-0.4161,0.0412,
NVIDIA CORP,NVDA,2026-02-25,d7c1b1dd7a5b8686,43,-0.4,482,-0.4038,0.0039,
ORACLE CORP,ORCL,2006-07-21,cb9af1895d222e03,0,,219,-0.2089,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2007-06-29,07f3dde5a3d72540,0,,225,-0.2185,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2008-07-02,3122a7562372c9d5,0,,4,-0.0025,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2009-06-29,aca5c4c4aae64a2b,0,,4,-0.0023,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2010-07-01,b1e47f2a3cbc1001,0,,309,-0.2837,,LOW_SENTENCE_COUNT
ORACLE CORP,ORCL,2011-06-28,ca115c414746c86e,0,,281,-0.2994,,LOW_SENTENCE_COUNT
