firm,ticker,cik,edgar_n,edgar_earliest,pulled_n,pulled_earliest,missing_n,missing_dates
AMD,AMD,2488,33,1994-03-07,9,2018-02-27,24,1994-03-07;1995-03-07;1996-03-21;1997-03-20;1998-03-03;1999-03-29;2000-03-21;2001-03-20;2002-03-07;2003-03-14;2004-03-09;2005-03-01;2006-02-27;2007-03-01;2008-02-26;2009-02-24;2010-02-19;2011-02-18;2012-02-24;2013-02-21;2014-02-18;2015-02-19;2016-02-18;2017-02-21
Amex,AXP,4962,33,1994-03-31,7,2020-02-13,26,1994-03-31;1995-03-31;1996-03-29;1997-03-28;1998-03-31;1999-03-30;2000-03-29;2001-03-30;2002-04-01;2003-03-27;2004-03-12;2005-03-10;2006-03-06;2007-03-01;2008-02-28;2009-02-27;2010-02-26;2011-02-28;2012-02-24;2013-02-22;2014-02-25;2015-02-24;2016-02-19;2017-02-17;2018-02-16;2019-02-13
Dell,DELL,1571996,10,2017-03-31,4,2023-03-30,6,2017-03-31;2018-03-29;2019-03-29;2020-03-27;2021-03-26;2022-03-24
IBM,IBM,51143,33,1994-03-28,7,2020-02-25,26,1994-03-28;1995-03-28;1996-03-26;1997-03-27;1998-03-30;1999-03-29;2000-03-13;2001-03-13;2002-03-11;2003-03-10;2004-03-08;2005-02-24;2006-02-28;2007-02-27;2008-02-26;2009-02-24;2010-02-23;2011-02-22;2012-02-28;2013-02-26;2014-02-25;2015-02-24;2016-02-23;2017-02-28;2018-02-27;2019-02-26
Microsoft,MSFT,789019,33,1994-09-27,7,2020-07-30,26,1994-09-27;1995-09-25;1996-09-27;1997-09-29;1998-09-25;1999-09-28;2000-09-28;2001-09-18;2002-09-06;2003-09-05;2004-09-01;2005-08-26;2006-08-25;2007-08-03;2008-07-31;2009-07-30;2010-07-30;2011-07-28;2012-07-26;2013-07-30;2014-07-31;2015-07-31;2016-07-28;2017-08-02;2018-08-03;2019-08-01
NVIDIA,NVDA,1045810,28,1999-04-29,6,2021-02-26,22,1999-04-29;2000-03-13;2001-04-27;2002-05-14;2003-04-25;2004-03-29;2005-03-22;2006-03-16;2007-03-16;2008-03-21;2009-03-13;2010-03-18;2011-03-16;2012-03-13;2013-03-12;2014-03-13;2015-03-12;2016-03-17;2017-03-01;2018-02-28;2019-02-21;2020-02-20
Oracle,ORCL,1341439,21,2006-07-21,11,2016-06-22,10,2006-07-21;2007-06-29;2008-07-02;2009-06-29;2010-07-01;2011-06-28;2012-06-26;2013-06-26;2014-06-26;2015-06-25
Salesforce,CRM,1108524,22,2005-03-25,3,2024-03-06,19,2005-03-25;2006-03-15;2007-03-09;2008-02-29;2009-03-09;2010-03-11;2011-03-23;2012-03-09;2013-03-08;2014-03-05;2015-03-06;2016-03-07;2017-03-06;2018-03-09;2019-03-08;2020-03-05;2021-03-17;2022-03-11;2023-03-08
UnitedHealth,UNH,731766,32,1995-03-28,6,2021-03-01,26,1995-03-28;1996-04-01;1997-03-28;1998-03-27;1999-03-31;2000-03-30;2001-03-30;2002-04-01;2003-03-19;2004-03-15;2005-03-01;2006-02-24;2007-03-06;2008-02-21;2009-02-11;2010-02-10;2011-02-10;2012-02-09;2013-02-07;2014-02-12;2015-02-10;2016-02-09;2017-02-08;2018-02-13;2019-02-12;2020-02-14
Verizon,VZ,732712,33,1994-03-31,3,2024-02-09,30,1994-03-31;1995-03-30;1996-03-28;1997-03-25;1998-03-25;1999-03-30;2000-03-30;2001-03-23;2002-03-20;2003-03-14;2004-03-12;2005-03-14;2006-03-14;2007-03-01;2008-02-28;2009-02-24;2010-02-26;2011-02-28;2012-02-24;2013-02-26;2014-02-27;2015-02-23;2016-02-23;2017-02-21;2018-02-23;2019-02-15;2020-02-21;2021-02-25;2022-02-11;2023-02-10
