company_short,company,ticker,cik,accession,filing_date,period_end,fiscal_year,ai_centrality,ai_stack_role,ai_infra_subsplit,sic,sic_description,revenue_usd,revenue_tag,assets_usd,n_ai_sentences,n_other_sentences,ai_tone,other_tone,within_doc_distance,tone_flag,item1a_words,n_subsections,n_ai_subsections,ai_subsection_words,ai_word_share_subsection,ai_sentence_words,ai_word_share_sentences,ai_pos_first,ai_pos_first_norm,ai_pos_mean_norm,ai_pos_spread_norm,ai_content_concentrated,position_flag,ai_match_terms,ai_match_automat_only,specificity_numeric_per_100w,item1a_specificity_numeric_per_100w,yoy_tfidf_cosine,yoy_shingle_jaccard,yoy_prior_year,heading_method,n_headings_found,item1a_words_raw,page_noise_words_removed,url
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-18-000042,2018-02-27,2017-12-30,2017,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,5253000000,RevenueFromContractWithCustomerExcludingAssessedTax,3540000000,0,544,,-0.273,,LOW_SENTENCE_COUNT,17045,67,0,0,0.0,0,0.0,,,,,,,,,,2.587,,,,html_emphasis,67,17056,11,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-19-000011,2019-02-08,2018-12-29,2018,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,6475000000,RevenueFromContractWithCustomerExcludingAssessedTax,4556000000,0,562,,-0.3004,,LOW_SENTENCE_COUNT,17056,73,0,0,0.0,0,0.0,,,,,,,,,,2.633,,,,html_emphasis,73,17067,11,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-20-000008,2020-02-04,2019-12-28,2019,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,6731000000,RevenueFromContractWithCustomerExcludingAssessedTax,6028000000,0,549,,-0.2904,,LOW_SENTENCE_COUNT,16219,67,0,0,0.0,0,0.0,,,,,,,,,,2.281,,,,html_emphasis,67,16231,12,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0001628280-21-001185,2021-01-29,2020-12-26,2020,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,9763000000,RevenueFromContractWithCustomerExcludingAssessedTax,8962000000,0,552,,-0.3364,,LOW_SENTENCE_COUNT,17416,121,1,341,0.01958,0,0.0,93,0.7686,0.7686,0.0,yes,,automatic,yes,2.639,1.349,,,,html_emphasis,121,17422,6,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-22-000016,2022-02-03,2021-12-25,2021,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,16434000000,RevenueFromContractWithCustomerExcludingAssessedTax,12419000000,0,558,,-0.3339,,LOW_SENTENCE_COUNT,17672,118,1,416,0.02354,0,0.0,90,0.7627,0.7627,0.0,yes,,automatic,yes,2.163,1.143,0.967,0.6278,2020,html_emphasis,118,17678,6,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-23-000047,2023-02-27,2022-12-31,2022,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,23601000000,RevenueFromContractWithCustomerExcludingAssessedTax,67580000000,1,582,0.0118,-0.331,0.3428,LOW_SENTENCE_COUNT,18271,107,1,464,0.0254,32,0.00175,74,0.6916,0.6916,0.0,yes,,ai,,0.216,1.171,0.2344,0.0086,2021,html_emphasis,107,18355,84,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-24-000012,2024-01-31,2023-12-30,2023,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,22680000000,RevenueFromContractWithCustomerExcludingAssessedTax,67885000000,26,605,-0.0208,-0.3247,0.3039,,20162,95,11,6310,0.31296,753,0.03735,20,0.2105,0.5617,0.6316,no,,ai|artificial intelligence|generative ai|machine learning,,0.333,0.724,0.6732,0.0568,2022,html_emphasis,95,20255,93,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-25-000012,2025-02-05,2024-12-28,2024,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,25785000000,RevenueFromContractWithCustomerExcludingAssessedTax,69226000000,39,577,-0.0012,-0.3356,0.3343,,20168,89,13,7699,0.38174,1265,0.06272,20,0.2247,0.5644,0.6067,no,,ai|automated|generative ai|machine learning,,0.208,0.625,0.9772,0.5591,2023,html_emphasis,89,20261,93,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm
AMD,ADVANCED MICRO DEVICES INC,AMD,2488,0000002488-26-000018,2026-02-04,2025-12-27,2025,AI-core,AI Infrastructure,Semiconductor/Hardware,3674,Semiconductors & Related Devices,34639000000,RevenueFromContractWithCustomerExcludingAssessedTax,76926000000,41,620,-0.1176,-0.331,0.2135,,21134,83,12,8323,0.39382,1285,0.0608,19,0.2289,0.5382,0.6506,no,,ai|automated|generative ai|machine learning,,0.336,0.549,0.975,0.4563,2024,html_emphasis,83,21142,8,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm
Amazon,AMAZON COM INC,AMZN,1018724,0001018724-21-000004,2021-02-03,2020-12-31,2020,,AI Infrastructure,Hyperscaler/Platform,5961,Retail-Catalog & Mail-Order Houses,386064000000,RevenueFromContractWithCustomerExcludingAssessedTax,321195000000,0,181,,-0.3049,,LOW_SENTENCE_COUNT,7812,40,1,378,0.04839,48,0.00614,23,0.575,0.575,0.0,yes,,artificial intelligence,,0.0,1.395,,,,html_emphasis,40,7862,50,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm
