analysis,sample,company,filing_mwu_p,filing_welch_p,firm_diff,mean,n,n_filings,n_firms_a,n_firms_b,p_a,p_b,perm_exact,perm_p,verdict
pooled_vs_0,FULL (as published),,,,,0.106,115,,,,0.0005,0.0002,,,SIG
pooled_vs_0,UNFLAGGED (>=5 AI and >=5 other sentences),,,,,0.1322,77,,,,0.0,0.0,,,SIG
pooled_vs_0,UNFLAGGED+ (also drops automat*-only keyword matches),,,,,0.1322,77,,,,0.0,0.0,,,SIG
per_company,FULL (as published),Oracle,,,,-0.1558,9,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),Oracle,,,,0.0616,3,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),Oracle,,,,0.0616,3,,,,,,,,
per_company,FULL (as published),IBM,,,,0.4567,8,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),IBM,,,,0.2572,2,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),IBM,,,,0.2572,2,,,,,,,,
per_company,FULL (as published),Tesla,,,,-0.2054,4,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),Tesla,,,,0.1039,1,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),Tesla,,,,0.1039,1,,,,,,,,
per_company,FULL (as published),Broadcom,,,,-0.3481,6,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),Broadcom,,,,-0.1315,2,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),Broadcom,,,,-0.1315,2,,,,,,,,
per_company,FULL (as published),Deere,,,,0.1703,3,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),Deere,,,,0.0697,2,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),Deere,,,,0.0697,2,,,,,,,,
per_company,FULL (as published),UnitedHealth,,,,0.5081,3,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),UnitedHealth,,,,0.5081,3,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),UnitedHealth,,,,0.5081,3,,,,,,,,
per_company,FULL (as published),Amex,,,,0.27,8,,,,,,,,
per_company,UNFLAGGED (>=5 AI and >=5 other sentences),Amex,,,,0.1166,3,,,,,,,,
per_company,UNFLAGGED+ (also drops automat*-only keyword matches),Amex,,,,0.1166,3,,,,,,,,
GROUPING 1,FULL (as published),,0.0001,0.0001,-0.3057,,,63,5,5,,,True,0.0238,SIG
GROUPING 1,UNFLAGGED (>=5 AI and >=5 other sentences),,0.0104,0.0153,-0.1711,,,41,5,5,,,True,0.127,n.s.
GROUPING 1,UNFLAGGED+ (also drops automat*-only keyword matches),,0.0104,0.0153,-0.1711,,,41,5,5,,,True,0.127,n.s.
GROUPING 2,FULL (as published),,0.8636,0.8612,0.0214,,,73,8,10,,,True,0.8603,n.s.
GROUPING 2,UNFLAGGED (>=5 AI and >=5 other sentences),,0.4363,0.8394,0.0452,,,56,8,10,,,True,0.6671,n.s.
GROUPING 2,UNFLAGGED+ (also drops automat*-only keyword matches),,0.4363,0.8394,0.0452,,,56,8,10,,,True,0.6671,n.s.
GROUPING 3,FULL (as published),,0.0008,0.0002,0.3455,,,40,4,4,,,True,0.1143,n.s.
GROUPING 3,UNFLAGGED (>=5 AI and >=5 other sentences),,0.0818,0.078,0.167,,,28,4,4,,,True,0.2,n.s.
GROUPING 3,UNFLAGGED+ (also drops automat*-only keyword matches),,0.0818,0.078,0.167,,,28,4,4,,,True,0.2,n.s.
