company,ticker,8k_doc_id,8k_filing_date,10k_doc_id,10k_fiscal_year,8k_sentiment_score,10k_sentiment_score,distance,8k_url,10k_url
INTERNATIONAL BUSINESS MACHINES CORP,IBM,b48de0cec6182322,1/30/2026,a531b26691c75309; a9a6519d4d607165,2026,0.152,-0.3632,0.5152,https://www.sec.gov/Archives/edgar/data/51143/000005114326000006/ex991pressreleasedatedjanu.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,8b9bc41b68d5ddbc; 111695d8da4d1ab1,1/28/2026,a531b26691c75309; a9a6519d4d607165,2026,0.0344,-0.3632,0.3976,https://www.sec.gov/Archives/edgar/data/51143/000005114326000004/ibm-20260128xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114326000004/ibm-20260128xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,343f5759b4c07e25; c1da98778aedb5ce,10/23/2025,a531b26691c75309; a9a6519d4d607165,2026,0.3892,-0.3632,0.7524,https://www.sec.gov/Archives/edgar/data/51143/000005114325000063/ibm_ex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000063/ibm_ex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,70d36c2e279b61b4; 7335377dbaf121a7,10/22/2025,a531b26691c75309; a9a6519d4d607165,2026,-0.0013,-0.3632,0.3619,https://www.sec.gov/Archives/edgar/data/51143/000005114325000061/ibm-20251022xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000061/ibm-20251022xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,eff4672ff47e8b28; 8c8c750216a246ac,7/24/2025,a531b26691c75309; a9a6519d4d607165,2026,0.3164,-0.3632,0.6796,https://www.sec.gov/Archives/edgar/data/51143/000005114325000051/ibm-ex99x1.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000051/ibm-ex99x2.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2f19ba27f5d40f94; 93f2ddf5798a1c1a,7/23/2025,a531b26691c75309; a9a6519d4d607165,2026,-0.0886,-0.3632,0.2746,https://www.sec.gov/Archives/edgar/data/51143/000005114325000048/ibm-20250723xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000048/ibm-20250723xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,c47519d518e67dc1,4/29/2025,a531b26691c75309; a9a6519d4d607165,2026,0.8928,-0.3632,1.256,https://www.sec.gov/Archives/edgar/data/51143/000005114325000035/ibmex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,e4adf13b6e6bc68b; 058d944d4dc5c10d,4/24/2025,a531b26691c75309; a9a6519d4d607165,2026,0.2898,-0.3632,0.653,https://www.sec.gov/Archives/edgar/data/51143/000005114325000031/ibmex99-1.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000031/ibmex99-2.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,90f3155a3e44c5be; 54e0423d9deff04c,4/23/2025,a531b26691c75309; a9a6519d4d607165,2026,0.0009,-0.3632,0.3642,https://www.sec.gov/Archives/edgar/data/51143/000005114325000026/ibm-20250423xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000026/ibm-20250423xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,7771a7133d2eddaf,3/12/2025,a531b26691c75309; a9a6519d4d607165,2026,0.0075,-0.3632,0.3707,https://www.sec.gov/Archives/edgar/data/51143/000005114325000018/ibm-ex99x1.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm
